hero_id,hero_pickrate_average,hero_winrate_average,hero_pickrate_up_to_crusader,hero_winrate_up_to_crusader,hero_pickrate_archon,hero_winrate_archon,hero_pickrate_legend,hero_winrate_legend,hero_pickrate_ancient,hero_winrate_ancient,hero_pickrate_divine_immortal,hero_winrate_divine_immortal
98,9.32132,49.3459,8.0821,50.79,7.892,49.891,8.7506,49.35,9.816,48.9224,12.0659,47.7761
99,7.72764,50.6225,12.1621,52.8127,8.8097,50.4414,6.647,49.7724,5.7045,50.0346,5.3149,50.0514
100,5.25626,46.24556,3.1354,43.8814,4.1836,45.3173,5.2617,46.5105,6.1267,47.2815,7.5739,48.2371
101,6.68138,49.22366,8.9399,50.3862,7.4349,49.6274,6.3139,49.0193,5.744,48.8691,4.9742,48.2163
102,8.47616,54.9073,7.4856,55.5378,8.7549,55.4275,9.182,54.8737,9.2415,54.5186,7.7168,54.1789
103,1.65384,50.79214,1.4059,47.6232,1.3819,50.2281,1.4659,51.3442,1.7511,51.5914,2.2644,53.1738
104,12.08786,49.25336,16.1998,50.063,14.1323,49.7264,12.2446,49.3142,10.3757,48.7003,7.4869,48.4629
105,10.9879,48.87164,10.9572,50.0335,10.5615,48.9298,10.7512,48.9637,10.9243,48.2192,11.7453,48.212
106,4.88572,46.8306,3.7783,44.3741,4.3039,45.6976,4.8112,47.4071,5.2492,47.8199,6.286,48.8543
107,4.44898,49.20668,3.0984,46.7205,3.8593,48.3066,4.5647,49.2537,5.1002,50.4001,5.6223,51.3525
108,2.72832,50.1266,2.3852,51.8309,2.9368,51.9031,3.0362,49.9966,2.949,48.7164,2.3344,48.186
109,2.64632,44.72954,2.1916,43.875,2.1225,44.0329,2.3724,44.9542,2.6661,45.4567,3.879,45.3289
110,4.12726,49.56932,2.7891,49.4543,3.6366,49.4673,4.2489,49.2378,4.8311,49.6002,5.1306,50.087
111,7.3652,53.28004,4.7767,50.8839,6.4013,53.1108,7.9516,54.0674,9.0051,54.5532,8.6913,53.7849
112,5.57306,52.01484,4.2868,50.2942,4.6049,51.2781,5.2174,52.3704,6.4254,52.7031,7.3308,53.4284
113,5.965,53.03194,9.4128,52.8601,6.0321,53.5015,5.0201,53.5996,4.8487,52.9733,4.5113,52.2252
114,8.0798,45.43194,7.6052,43.6313,7.4205,44.3961,7.8155,45.119,8.2406,46.1667,9.3172,47.8466
119,5.50842,48.95792,6.1778,47.7788,5.1106,48.5633,5.159,49.2193,5.3183,49.3604,5.7764,49.8678
120,4.849,46.06654,2.3621,43.3908,3.1282,44.1321,4.1995,46.439,5.3918,47.1897,9.1634,49.1811
121,8.46242,49.90816,6.8449,49.8827,8.4002,50.3744,9.2258,50.0237,9.4089,50.1807,8.4323,49.0793
123,16.88724,49.62226,15.0225,49.8673,16.4077,49.5248,16.9737,49.4615,17.2655,49.5348,18.7668,49.7229
126,4.5924,49.04506,3.6941,49.3372,4.18,49.788,4.7376,49.6872,5.2255,48.6247,5.1248,47.7882
128,5.7828,45.95134,4.8155,45.9362,5.9902,46.2037,6.3895,45.7183,6.3275,46.2424,5.3913,45.6561
129,9.61282,46.11824,4.9735,45.5963,7.636,45.8525,9.9296,46.2341,11.6711,46.1832,13.8539,46.7251
135,4.71884,49.29516,3.6675,48.5386,4.53,49.231,5.0792,49.3804,5.3626,49.9508,4.9549,49.375
136,7.14276,51.64122,5.4321,49.3658,6.0517,51.3248,7.1114,52.1293,7.9174,52.7189,9.2012,52.6673
137,5.1303,48.19296,4.0487,47.8887,4.4326,47.7922,4.9132,48.4351,5.2408,47.5735,7.0162,49.2753
138,3.6544,46.75484,3.7659,47.7323,3.605,47.0168,3.6395,46.3738,3.5713,45.5668,3.6903,47.0845
